Users,data,tweet
@AFP,2020-04-09 10:22:09+00:00,EU finance ministers will resume efforts on Thursday to agree a rescue plan for Europe's hardest-hit nations after The Netherlands blocked a compromise over bailout conditions 
@AFP,2020-04-09 10:17:16+00:00,"The Afghan government says it will release another 100 Taliban inmates, even though the insurgents have walked out of talks over a comprehensive prisoner swap and dismissed Kabul's piecemeal freeing of captives as ""unacceptable"" "
@AFP,2020-04-09 10:17:00+00:00,"VIDEO: The Intercontinental Hotel in Vienna has begun cooking between 200 and 300 free meals for senior citizens as Austria goes under COVID-19 lockdown. Volunteers deliver the meals - either by car, bicycle or even horse-drawn carriage "
@AFP,2020-04-09 10:03:31+00:00,"#BREAKING Iran says 117 new virus deaths take overall toll past 4,000 "
@AFP,2020-04-09 09:45:00+00:00,"VIDEO: Instead of with his usual congregation, a priest in Costa Rica celebrates mass with photos of those who are respecting government advice to stay home during the coronavirus pandemic, offering them the opportunity to live Easter 'spiritually' "
@AFP,2020-04-09 09:43:11+00:00,#BREAKING French regulator orders Google to negotiate copyright payments with media groups 
@AFP,2020-04-09 09:37:50+00:00,"#UPDATE Anatoly Ivanishin and Ivan Vagner of Russia's Roscosmos space agency and NASA's Chris Cassidy launched at 08:05 GMT from Russia's Baikonur Cosmodrome in Kazakhstan, where COVID-19 has caused changes to pre-launch protocol "
@AFP,2020-04-09 09:31:23+00:00,"British Prime Minister Boris Johnson on Thursday began a fourth day in intensive care ""improving"" in his battle with #coronavirus, as his government prepared to extend a nationwide lockdown introduced last month "
@AFP,2020-04-09 09:30:00+00:00,VIDEO: US president Donald Trump and WHO director-general Tedros Adhanom Ghebreyesus disagree over alleged 'politicizing' of the COVID-19 pandemic: the World Health Organisation is pleading for unity in the face of accusations from Trump that the agency is 'very China-centric' 
@AFP,2020-04-09 09:17:50+00:00,RT @AFPphoto: #Coronavirus #COVID19 #Belgium Funeral of Covid-19 victims Pictures by #AFP photographer @Kenzotribou 
@AFP,2020-04-09 09:16:35+00:00,"#BREAKING Iraqi President Barham Saleh has nominated spy chief Mustafa Kadhemi as the country's third prime minister-designate this year, moments after predecessor Adnan Zurfi ended his bid to form a government "
@AFP,2020-04-09 09:15:00+00:00,"VIDEO: Polish priests have set up drive-through confessionals in the church's parking lot, so that worshippers and clergy from Warsaw's Temple of Divine Providence can abide by social distancing rules "
@AFP,2020-04-09 08:59:00+00:00,VIDEO: Colombian policemen visit Bogota neighbourhoods and give Zumba fitness classes to encourage and entertain residents stuck at home over coronavirus fears. Zumba was developed in Colombia in the 1990s 
@AFP,2020-04-09 08:45:00+00:00,"VIDEO: With the city under lockdown, the seals of Boston's New England Aquarium get some quiet time away from the thousands of visitors that usually come to their tank every week. Trainers continue to clean and train the marine animals while the tourist site is closed "
@AFP,2020-04-09 08:29:12+00:00,"#BREAKING A three-man crew successfully blasted off to the International Space Station, footage on NASA television showed, leaving behind a planet overwhelmed by the #coronavirus pandemic "
@AFP,2020-04-09 08:15:53+00:00,"VIDEO: The Waterloo distillery, Belgium's smallest distillery, stopped producing gin and whisky to produce 200 litres of pure alcohol per week destined for the production of hand-sanisiting gels to fight the coronavirus pandemic "
@AFP,2020-04-09 08:03:09+00:00,"RT @EUDataNewsHub: 🇪🇺 European governments fear overcrowded prisons are virus timebombs during the #coronavirus pandemic, and are looking a…"
@AFP,2020-04-09 07:46:47+00:00,Asia virus latest.  Australia raids cruise ship; Taiwan demands WHO apology    📸 Tears in China; a woman in a mask in Thailand; warning signs in Vietnam and a health worker accused of not disinfecting properly in India 
@AFP,2020-04-09 07:26:26+00:00,VIDEO:  Colombian cops use Zumba to arrest virus blues.  Police visit Bogota neighbourhoods and give Zumba fitness classes to encourage and entertain residents stuck at home due to #coronavirus lockdown 
@AFP,2020-04-09 07:02:55+00:00,"UPDATE More than 1.5 million cases of #coronavirus registered worldwide, according to @AFP tally.  Of the 1,502,478 infections, 87,320 people have died across 192 countries and territories since the epidemic first emerged in China late last year  📸 Andreas Solaro "
@AFP,2020-04-09 06:48:30+00:00,"VIDEO:  A temporary hospital is being set up inside the Billie Jean King National Tennis Center in Queens, as the United States saw nearly 2,000 #coronavirus deaths for a second day running "
@AFP,2020-04-09 06:43:30+00:00,Empty benches are seen at Flushing Corona Park in the Borough of Queens.    New York recorded a new single-day high for #coronavirus deaths - 779 in 24 hours - but Governor Andrew Cuomo said infections appear to be stabilizing  📸 Bryan R. Smith 
@AFP,2020-04-09 06:29:08+00:00,"As coronavirus forces billions of people around the world into lockdown, another sizeable population has also been hard hit -- stray animals   "
@AFP,2020-04-09 06:14:35+00:00,Monster storm in Pacific destroys tourist resorts in Tonga   
@AFP,2020-04-09 06:11:08+00:00,Taiwan demands apology from @WHO chief.    Tedros failed to mention Trump in his response to criticism from the US but instead accused Taiwan of 'attacks'       📸A girl and her grandpa play at a park in Taipei 
@AFP,2020-04-09 05:56:50+00:00,#BREAKING Global #coronavirus cases top 1.5 million: AFP tally 
@AFP,2020-04-09 05:00:21+00:00,"Latest on pandemic.  #Coronavirus has now killed over 86,000 and infected 1.5 million, sparing almost no country     📸 Medical workers rest in London; others prepare for work in Italy; a COVID victim is removed in Ecuador, while testing is done in India "
@AFP,2020-04-09 04:00:49+00:00,Singapore migrant workers live in fear as virus hits dorms   
@AFP,2020-04-09 03:36:07+00:00,"Volunteers throw a mixture of water, herb and turmeric as an alleged natural disinfectant on a street in a residential area of Chennai, during India's nationwide #coronavirus lockdown   📸 Arun Sankar "
@AFP,2020-04-09 03:27:17+00:00,"Locked-down Spain celebrates Holy Week with music and humour    📸 A woman walks past a church in Sevilla, adorned with flowers and candles left by the faithful after Easter processions were cancelled "
@AFP,2020-04-09 03:08:26+00:00,"Supernurse.  A boy stands in front of a mural painted by artist Kai 'Uzey' Wohlgemuth featuring a nurse as Superwoman on a wall in Hamm, Germany  📸 Ina Fassbender "
@AFP,2020-04-09 02:44:38+00:00,"Super spreader: A funeral, a birthday party and a trail of death   #coronavirus "
@AFP,2020-04-09 02:07:33+00:00,VIDEO:  Seniors get horse-drawn carriage food deliveries in Vienna neighbourhood.  The Intercontinental Hotel in Vienna has begun cooking between 200 and 300 free meals for senior citizens as Austria goes under COVID-19 lockdown 
@AFP,2020-04-09 02:01:18+00:00,Coronavirus pandemic poses big challenges for UN peacekeeping operations    📸 Samir Tounsi 
@AFP,2020-04-09 01:52:41+00:00,"Police respond to reports of ""a customer licking groceries"".   California woman is arrested after licking $1,800 worth of groceries and other items at a supermarket  "
@AFP,2020-04-09 01:46:15+00:00,"Rap, 'Frozen 2' help revive Lapland's endangered languages   "
@AFP,2020-04-09 01:17:43+00:00,"Coronavirus reaches Yanomami people, an Amazon indigenous group known for its remoteness and its vulnerability to foreign diseases   "
@AFP,2020-04-09 01:09:49+00:00,"#UPDATE US records 1,973 #coronavirus deaths.  The record-breaking figure is slightly higher than the previous day's toll of 1,939 and brings the total of US fatalities to 14,695  📸 Medical staff transport the body of a deceased patient in New York "
@AFP,2020-04-09 00:39:46+00:00,"#BREAKING Nearly 2,000 US #coronavirus deaths for second day in a row: Johns Hopkins tally "
@AFP,2020-04-09 00:38:57+00:00,VIDEO:  India's 'corona car' aims to accelerate awareness about the pandemic.  A man in Hyderabad has manufactured a single-seater vehicle that's shaped like a #coronavirus 
@AFP,2020-04-09 00:30:38+00:00,Under a wing.  A woman walks past graffiti in Tokyo as Japan enters a state of emergency due to a spike in #coronavirus infections  📸 Behrouz Mehri 
@AFP,2020-04-09 00:20:44+00:00,"VIDEO:  Costa Rican priest fills pews with photos of parishioners during the #coronavirus outbreak, offering them the opportunity to live Easter 'spiritually' "
@AFP,2020-04-09 00:16:07+00:00,Australian police raid virus-stricken Ruby Princess cruise ship as part of criminal probe into why thousands of passengers were allowed to disembark in Sydney despite an outbreak.  15 passengers have since died of the illness   
@AFP,2020-04-09 00:01:00+00:00,"#BernieSanders had the most progressive policy ideas, pulled in the biggest rally crowds, raked in donations, and won the highest ballot totals in all three early-voting states. The race appeared to be his - but in a flash, it was all over  "
@AFP,2020-04-08 23:40:00+00:00,"#UPDATE The ceasefire comes after Saudi Arabia, the Yemeni government and the Huthi rebels all welcomed a UN appeal for an ""immediate global ceasefire"" to help counter the threat from the novel #coronavirus  "
@AFP,2020-04-08 23:20:00+00:00,"Is the #coronavirus pandemic the end of the world as we know it? The crisis comes as a new movement called ""collapsology"" -- which warns of the possible collapse of our societies in their current form -- is gaining ground  "
@AFP,2020-04-08 23:02:00+00:00,"#UPDATE The United States is sure to take a hit in the near term as businesses are forced to close and consumers are confined to their homes due to the #coronavirus pandemic, the Fed said in the minutes of the March 15 emergency policy meeting "
@AFP,2020-04-08 22:40:00+00:00,"#UPDATE The Greg Mortimer cruise ship, run by Australian company Aurore Expeditions, has been anchored off the port of Montevideo in the Rio de la Plata since March 27 - and has more than 100 people aboad infected with #COVID-19  "
@AFP,2020-04-08 22:20:35+00:00,"RT @AFP_Sport: ""To make a real difference""  Premier League stars launch #PlayersTogether to generate funds for Britain's National Health Se…"
@AFP,2020-04-08 22:00:00+00:00,"#UPDATE The improved data from New York and some other hotspots has buoyed investment bulls who think the US economy may soon be able to ramp up - but others are far more skeptical, noting that the #coronavirus trajectory remains highly worrisome  "
@AFP,2020-04-08 21:40:00+00:00,"While Turkey's president has imposed a series of tough measures to halt the spread of the novel #coronavirus, he has resisted orders for a full lockdown, even as the number of #COVID-19 cases soars  "
@AFP,2020-04-08 21:21:16+00:00,"#UPDATE Governments around the world are grappling with how to balance public safety against the devastating economic impact of stay-at-home orders that have erased millions of jobs in a matter of weeks, as the #coronavirus death toll continues to rise  "
@AFP,2020-04-08 21:00:00+00:00,"#UPDATE The UN's health agency has faced criticism in the past both for overreacting and for moving too slowly in fighting epidemics, but it has rarely faced as much scrutiny as with the #COVID-19 pandemic  "
@AFP,2020-04-08 20:39:43+00:00,"""I've definitely had concussions, yeah,"" Brady admitted. "
@AFP,2020-04-08 20:20:00+00:00,"VIDEO: With the city under lockdown, the seals of Boston's New England Aquarium get some quiet time away from the thousands of visitors that usually come to their tank every week "
@AFP,2020-04-08 20:01:23+00:00,#BREAKING Dow ends 3.4% higher after latest US coronavirus updates 
@AFP,2020-04-08 20:00:01+00:00,"If Donald Trump brought brash and bombast to the White House, wrecking everything from convention to international treaties along the way, Barack Obama's former vice president Joe Biden offers reassurance  "
@AFP,2020-04-08 19:40:00+00:00,"Vienna's horse-drawn carriages, a staple of street life in the Austrian capital and a popular tourist attraction, have been sidelined by the coronavirus pandemic -- so they are now helping deliver food to the elderly "
@AFP,2020-04-08 19:35:33+00:00,#BREAKING Saudi-led coalition declares coronavirus ceasefire in Yemen from Thursday 
@AFP,2020-04-08 19:29:26+00:00,"#BREAKING Virus-stricken Australian liner to dock in Montevideo, according to official "
@AFP,2020-04-08 19:21:00+00:00,"VIDEO: The Waterloo distillery, Belgium's smallest distillery, stopped producing gin and whisky to produce 200 litres of pure alcohol per week destined for the production of hand-sanisiting gels to fight the coronavirus pandemic  "
@AFP,2020-04-08 19:00:00+00:00,"""The latest from the hospital is that the prime minister remains in intensive care where his condition is improving,"" finance minister Rishi Sunak said, adding that Boris Johnson ""has been sitting up in bed and engaging positively with the clinical team""  "
@AFP,2020-04-08 18:40:00+00:00,"With India's 1.3 billion population and tens of millions of cars conspicuous by their absence, wildlife - monkeys, bears, peacocks, elephants - and stray domestic animals have moved to fill the void   "
@AFP,2020-04-08 18:22:51+00:00,"#BREAKING France to extend virus lockdown, Macron will address nation Monday: presidency "
@AFP,2020-04-08 18:21:33+00:00,#BREAKING The impact of the #coronavirus pandemic impact may not be as long-lasting as 2008 crisis: US Fed minutes 
@AFP,2020-04-08 18:20:00+00:00,"#UPDATE Bernie Sanders shook up the 2020 Democratic presidential nomination race with his relentless pursuit of ""economic justice"" and a demand for universal health care, but acknowledged his campaign fell short against Joe Biden   "
@AFP,2020-04-08 17:59:20+00:00,"#UPDATE ""There are reasonable grounds to believe"" that President Bashar al-Assad's air force used the nerve gas sarin and chlorine on opponents three times in 2017 during Syria's ongoing nine-year-long civil war, the watchdog team concluded  "
@AFP,2020-04-08 17:41:21+00:00,#BREAKING France reports 541 more #coronavirus deaths in hospital over 24 hours: official 
@AFP,2020-04-08 17:38:24+00:00,"#UPDATE The global economic recession could last longer than some had initially expected, in part because it's unclear how fast a vaccine can be developed and marketed to avoid another wave of #coronavirus infections "
@AFP,2020-04-08 17:10:00+00:00,"#UPDATE The feisty 78-year-old senator from Vermont's quixotic battle was cut short when the centrist Democratic camp -- the ""establishment"" he rejects -- pulled together in a coordinated effort to support former vice president Joe Biden  "
@AFP,2020-04-08 16:53:55+00:00,"#BREAKING Europe death toll from coronavirus tops 60,000: AFP tally "
@AFP,2020-04-08 16:53:14+00:00,#BREAKING New York reports record 779 novel #Coronavirus deaths in 24 hours 
@AFP,2020-04-08 16:45:12+00:00,"#BREAKING UN chief says 'unite' now, review virus response later "
@AFP,2020-04-08 16:37:45+00:00,"#BREAKING After Trump blast, WHO thanks US for 'generous support' in pandemic "
@AFP,2020-04-08 16:28:01+00:00,"#BREAKING US tops 400,000 #Coronavirus cases: tracker "
@AFP,2020-04-08 16:26:56+00:00,#BREAKING Biden urges Sanders supporters to 'join us' 
@AFP,2020-04-08 16:15:30+00:00,#BREAKING Sanders vows to 'work' with Democrat Biden to defeat Republican Trump in US presidential election 
@AFP,2020-04-08 16:10:44+00:00,"#BREAKING WHO calls for US, China to unite to fight COVID-19 "
@AFP,2020-04-08 16:09:46+00:00,#BREAKING Boris Johnson's condition 'improving': UK finance minister 
@AFP,2020-04-08 16:08:34+00:00,#BREAKING 'Don't politicise this virus': WHO chief says after Trump criticism 
@AFP,2020-04-08 16:07:33+00:00,#BREAKING Britain reports a record 938 new #coronavirus deaths 
@AFP,2020-04-08 16:00:00+00:00,"VIDEO: 🇲🇾 There may soon be a global shortage of #condoms, one of the world's largest producers says, as businesses in Malaysia struggle to keep going amid a lockdown to stop the spread of #coronavirus "
@AFP,2020-04-08 15:40:02+00:00,#BREAKING European Commission urges member states to keep ban on non-essential travel into passport-free zone until at least May 15 to slow #coronavirus 
@AFP,2020-04-08 15:34:58+00:00,#BREAKING Bernie Sanders ends bid for US presidency: statement 
@AFP,2020-04-08 15:30:00+00:00,"#UPDATE Existing tools will be enough to help the EU through the #coronavirus crisis, German Finance Minister Olaf Scholz said Wednesday, again rejecting the creation of controversial ""#coronabonds"" pooled debt instruments  "
@AFP,2020-04-08 15:28:37+00:00,RT @AFP_Sport: Sadio Mane says he'd understand if Liverpool were denied the #PremierLeague title even though they were on the brink of endi…
@AFP,2020-04-08 15:00:01+00:00,"VIDEO: 🇮🇹 Residents of Canonica d'Adda in Italy's #Bergamo province react after the mayor decreed that men could only shop on Mondays, Wednesdays, Fridays and Sundays, and women only on Tuesdays, Thursdays and Saturdays, in a further bid to halt the spread of #coronavirus "
@AFP,2020-04-08 14:56:35+00:00,#BREAKING British driver pleads guilty to manslaughter of 39 found dead in refrigerated truck 
@AFP,2020-04-08 14:43:19+00:00,"RT @AFPphoto: #Coronavirus #COVID19 #China Joy, relief as exodus from Wuhan begins #AFP   📸 @hectorretamal "
@AFP,2020-04-08 14:30:00+00:00,"VIDEO: 🏴󠁧󠁢󠁳󠁣󠁴󠁿 The deserted streets of Scotland's capital #Edinburgh, on lockdown in a bid to halt the spread of the #coronavirus. Britain currently has 55,000 positive cases of COVID-19 and has seen nearly 6,200 deaths. "
