Users,data,tweet
@Fxhedgers,2020-04-08 19:32:57+00:00,CA GOVERNOR NEWSOM THE STATE HAS RECEIVED 2.4 MILLION UNEMPLOYMENT CLAIMS THIS WEEK - KTVU
@Fxhedgers,2020-04-08 19:24:59+00:00,"$AAPL only up $5 $MSFT up $1 and change, weak"
@Fxhedgers,2020-04-08 19:21:59+00:00,RT @fxmacro: FDA - RECEIVED REPORTS OF PEOPLE EXPERIENCING SERIOUS ADVERSE EVENTS AFTER DRINKING CHLORINE DIOXIDE PRODUCTS... doesn't Navar…
@Fxhedgers,2020-04-08 19:10:46+00:00,"A new bull market started today, saw it on twitter $SPX"
@Fxhedgers,2020-04-08 18:28:18+00:00,RT @PpollingNumbers: Today's National General Election Polls:  Quinnipiac (4/2-6) Biden 49% Trump 41%  YouGov (4/5-7): Biden 48% Trump 42%…
@Fxhedgers,2020-04-08 18:15:20+00:00,"RT @JenniferJJacobs: NEW: Trump is anxious to reopen the economy, but some top aides pushing for the medical data to drive the decisions. T…"
@Fxhedgers,2020-04-08 17:41:36+00:00,RUSSIA IS READY TO CUT OIL OUTPUT BY 1.5MLN BPD AS PART OF OPEC+ DEAL — ENERGY MINISTRY - TASS
@Fxhedgers,2020-04-08 17:40:28+00:00,"NEW YORK STATE REPORTS MOST CORONAVIRUS CASES IN WORLD, OVERTAKING SPAIN -REUTERS TALLY"
@Fxhedgers,2020-04-08 17:25:30+00:00,"RT @NBCNewYork: #BREAKING NJ Gov. Murphy orders all non-essential construction to cease, says all essential stores must limit customers and…"
@Fxhedgers,2020-04-08 17:23:49+00:00,"CHIEF OF U.S. NATIONAL GUARD BUREAU SAYS TROOPS HELPING WITH CORONAVIRUS EFFORTS COULD INCREASE BY 10,000 IN COMING WEEKS"
@Fxhedgers,2020-04-08 17:22:04+00:00,"NEW YORK GOVERNOR CUOMO SAYS DEATH TOLL WILL LIKELY BE ""THIS HIGH OR HIGHER FOR THE NEXT SEVERAL DAYS"""
@Fxhedgers,2020-04-08 17:16:01+00:00,"NEW YORK GOVERNOR SAYS VERY REAL POSSIBILITY"" THAT DEATHS HAVE BEEN UNDERCOUNTED BECAUSE OF PEOPLE WHO DIED AT HOME"
@Fxhedgers,2020-04-08 17:14:09+00:00,"ITALY PM CONTE  SAYS SCIENTISTS ARE TELLING HIM NOT TO EASE CORONAVIRUS LOCKDOWN RESTRICTIONS, ""WE MUST CONTINUE WITH THIS RIGOUR"""
@Fxhedgers,2020-04-08 17:12:20+00:00,"NEW YORK GOVERNOR SAYS CURRENT TREND ""JUST A SNAPSHOT IN TIME"" AND WARNS OF POSSIBILITY THAT ""TOMORROW MORNING WE WAKE UP AND THE NUMBER IS BACK UP"""
@Fxhedgers,2020-04-08 17:02:25+00:00,"TOYOTA WILL STOP PAYING 5,000 TEMPORARY WORKERS AT IT NORTH AMERICAN FACILTIES -- SPOKESMAN"
@Fxhedgers,2020-04-08 17:02:12+00:00,[RTRS] 08 APR - TOYOTA EXTENDS NORTH AMERICAN PRODUCTION SHUTDOWN AND PLANS TO RESUME OPERATIONS MAY 4 -- STATEMENT
@Fxhedgers,2020-04-08 16:55:30+00:00,"Small business owners are saying loan program is flawed, money is not flowing and banks are blaming the govt - FBN"
@Fxhedgers,2020-04-08 16:43:53+00:00,NEW YORK GOVERNOR SAYS TO ORDER ALL FLAGS IN STATE TO BE FLOWN AT HALF MAST TO HONOR THOSE WHO HAVE DIED
@Fxhedgers,2020-04-08 16:42:47+00:00,NEW YORK GOVERNOR CUOMO SAYS 779 DEATHS RECORDED FOR APRIL 7 IS HIGHEST DAILY INCREASE TO DATE IN CRISIS
@Fxhedgers,2020-04-08 16:40:19+00:00,"NEW YORK STATEWIDE CORONAVIRUS DEATHS RISE BY 779 ON APRIL 7, VS INCREASE OF 731 A DAY EARLIER - GOVERNOR CUOMO"
@Fxhedgers,2020-04-08 16:38:28+00:00,"NEW YORK STATEWIDE NEW HOSPITALIZATIONS TOTAL 586 ON APRIL 7, DOWN FROM 656 A DAY EARLIER - GOVERNOR CUOMO"
@Fxhedgers,2020-04-08 16:36:00+00:00,"RT @DeItaOne: No sign Europe's COVID-19 epidemic is at peak, EU disease monitoring agency says"
@Fxhedgers,2020-04-08 16:34:11+00:00,JPM :Stock buybacks will drop to $400 billion this year - CNBC how nice
@Fxhedgers,2020-04-08 06:50:53+00:00,IRAN'S ROUHANI SAYS U.S. VIOLATES INTERNATIONAL MEDICAL CONVENTIONS
@Fxhedgers,2020-04-08 06:50:35+00:00,"IRAN'S ROUHANI SAYS U.S. MEDICAL, ECONOMIC TERRORISM IS DISGRACEFUL"
@Fxhedgers,2020-04-08 06:40:16+00:00,"[RTRS] 08 APR - TOO EARLY TO SAY WHEN WE REACH THE PEAK OF THE OUTBREAK, JUNIOR HEALTH MINISTER ARGAR SAYS"
@Fxhedgers,2020-04-08 06:25:00+00:00,DOLLAR INDEX RISES 0.60% $DXY
@Fxhedgers,2020-04-08 06:22:02+00:00,FRENCH CENTRAL BANK SAYS INDUSTRIAL CAPACITY UTILISATION FELL TO RECORD LOW OF 56% IN MARCH FROM 78% IN FEBRUARY
@Fxhedgers,2020-04-08 06:21:30+00:00,FRENCH CENTRAL BANK ESTIMATES EACH TWO-WEEK PERIOD OF CONFINEMENT REDUCES ANNUAL GDP BY 1.5 PERCENTAGE POINTS
@Fxhedgers,2020-04-08 06:20:57+00:00,"FRENCH CENTRAL BANK ESTIMATES Q1 GDP CONTRACTED 6% QTR/QTR, DEEPEST QUARTERLY DOWNTURN ON RECORD"
@Fxhedgers,2020-04-08 06:14:39+00:00,"UK PM JOHNSON IS IN A STABLE CONDITION AND IN GOOD SPIRITS, JUNIOR HEALTH MINISTER SAYS"
@Fxhedgers,2020-04-08 06:14:06+00:00,"EUROGROUP FAILS TO REACH DEAL OVER CORONAVIRUS RESPONSE, TALKS SUSPENDED UNTIL TOMORROW - CNBC"
@Fxhedgers,2020-04-08 06:07:57+00:00,WTI took a leg lower
@Fxhedgers,2020-04-08 06:04:33+00:00,BOJ induced fake ramp 🤣
@Fxhedgers,2020-04-08 06:03:00+00:00,NIKKEI closed +2% fake ramp over $ES
@Fxhedgers,2020-04-08 05:56:45+00:00,RT @IGSquawk: European Opening Calls: #FTSE 5668 -0.64% #DAX 10342 -0.14% #CAC 4408 -0.68% #AEX 499 -0.18% #MIB 17434 +0.13% #IBEX 6955 -0.…
@Fxhedgers,2020-04-08 05:48:28+00:00,FOXCONN WISCONSIN PLANT TO MAKE VENTILATORS TO SUPPLY U.S GOVT - RTRS
@Fxhedgers,2020-04-08 05:36:08+00:00,"RT @Alex_Schindelar: #opec+ ministers Thu will be presented with 2 options: do nothing and see a 15 million b/d surplus in the 2Q, or cut 1…"
@Fxhedgers,2020-04-08 05:22:41+00:00,Readout of Fed's March meetings to capture a frenzied policy response 
@Fxhedgers,2020-04-08 05:18:54+00:00,RT @LiveSquawk: German Public Health Institute's Wieler: Germany Still At Beginning Of Pandemic - DLF
